framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,128,1,128,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0065151996910572055
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,512,1,512,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.010751999914646149
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,256,1,256,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.006719999760389328
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1024,1,1024,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.016131199896335602
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,512,1,512,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.010627199709415436
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1024,1,1024,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.015548799932003022
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1,1,1,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.0038495998829603194
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,1,1,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.244704008102417
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,2,1,2,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.003977600112557411
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,4,1,4,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.004236799851059914
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,8,1,8,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.00445760004222393
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,16,1,16,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.004534399881958961
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,32,1,32,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.004473600164055824
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,64,1,64,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.004515200108289719
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,128,1,128,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.004841599985957146
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,256,1,256,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.006716799736022949
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,512,1,512,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.010553599894046783
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1024,1,1024,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.014870400726795196
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,1,1,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.24607040882110595
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,1,1,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.02512640058994293
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,1,1,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.023212799429893495
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,1,1,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.0251008003950119
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,1,1,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.025123199820518492
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,1,1,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.025088000297546386
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.02499839961528778
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,1,1,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.025068798661231996
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,2,2,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.25339200496673586
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,1,1,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.02507199943065643
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,2,2,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.02494720071554184
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,2,2,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.24981119632720947
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,2,2,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.026604801416397095
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,2,2,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.241430401802063
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,2,2,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.024911999702453613
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,2,2,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.25407359600067136
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,2,2,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.024886399507522583
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,2,2,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.269648003578186
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,2,2,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.025196799635887147
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,2,2,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.25051839351654054
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,2,2,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.025088000297546386
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,2,2,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.2577440023422241
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,2,2,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.02510719895362854
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,2,2,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.24989120960235595
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,2,2,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.025040000677108765
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,4,4,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.25076799392700194
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,4,4,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.2455296039581299
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,4,4,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.027030399441719054
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,4,4,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.24742400646209717
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,4,4,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.02690559923648834
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,4,4,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.025161600112915038
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,4,4,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.2595936059951782
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,4,4,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.02500480115413666
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,4,4,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.26044158935546874
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,4,4,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.025110399723052977
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,4,4,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.25229439735412595
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,4,4,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.025065600872039795
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,4,4,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.25971839427947996
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,4,4,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.24676799774169922
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,4,4,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.027132800221443175
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,4,4,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.026895999908447266
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,8,8,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.2520384073257446
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,8,8,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.0290367990732193
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,8,8,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.2504800081253052
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,8,8,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.026931199431419372
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,8,8,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.2485408067703247
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,8,8,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0271232008934021
