framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,32,2,1,1,1024,0.2521
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,128,64,1,1,16384,0.4903
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,16,4,1,1,16384,0.2617
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,4,32,1,1,2,0.2193
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,4,64,1,1,8192,0.3064
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,4,16,1,1,4,0.2770
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,16,1,1,1,4,0.2516
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,32,8,1,1,32768,0.2506
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,1,256,1,1,512,0.3996
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,2,64,1,1,65536,0.5394
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,8,1024,1,1,1024,1.1132
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,2,256,1,1,512,0.4089
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,4,256,1,1,8192,0.5747
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,8,1024,1,1,16,0.9787
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,8,64,1,1,1024,0.2790
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,32,1,1,16,0.3469
